#strain_name,accession,strain_taxon_id,seq_name
YJM1388,CP004655,1294360,II
YJM1388,CP006302,1294360,III
YJM1388,CP004723,1294360,IV
YJM1388,CP004818,1294360,V
YJM1388,CP004953,1294360,VI
YJM1388,CP005257,1294360,VII
YJM1388,CP006090,1294360,VIII
YJM1388,CP005046,1294360,IX
YJM1388,CP005159,1294360,X
YJM1388,CP005354,1294360,XI
YJM1388,CP006406,1294360,XII
YJM1388,CP005455,1294360,XIII
YJM1388,CP005557,1294360,XIV
YJM1388,CP005651,1294360,XV
YJM1388,CP006182,1294360,XVI
YJM1389,CP004474,1294361,I
YJM1389,CP004656,1294361,II
YJM1389,CP006303,1294361,III
YJM1389,CP004724,1294361,IV
YJM1389,CP004819,1294361,V
YJM1389,CP004954,1294361,VI
YJM1389,CP005258,1294361,VII
YJM1389,CP006091,1294361,VIII
YJM1389,CP005047,1294361,IX
YJM1389,CP005160,1294361,X
YJM1389,CP005355,1294361,XI
YJM1389,CP006407,1294361,XII
YJM1389,CP005456,1294361,XIII
YJM1389,CP005558,1294361,XIV
YJM1389,CP005652,1294361,XV
YJM1389,CP006183,1294361,XVI
YJM1399,CP004475,1294362,I
YJM1399,CP004657,1294362,II
YJM1399,CP006304,1294362,III
YJM1399,CP004725,1294362,IV
YJM1399,CP004820,1294362,V
YJM1399,CP004955,1294362,VI
YJM1399,CP005259,1294362,VII
YJM1399,CP006092,1294362,VIII
YJM1399,CP005048,1294362,IX
YJM1399,CP005161,1294362,X
YJM1399,CP005356,1294362,XI
YJM1399,CP006408,1294362,XII
YJM1399,CP005457,1294362,XIII
YJM1399,CP005559,1294362,XIV
YJM1399,CP005653,1294362,XV
YJM1399,CP006184,1294362,XVI
YJM1402,CP004478,1294365,I
YJM1402,CP004568,1294365,II
YJM1402,CP006307,1294365,III
YJM1402,CP004728,1294365,IV
YJM1402,CP004823,1294365,V
YJM1402,CP004958,1294365,VI
YJM1402,CP005262,1294365,VII
YJM1402,CP006095,1294365,VIII
YJM1402,CP005051,1294365,IX
YJM1402,CP005164,1294365,X
YJM1402,CP005359,1294365,XI
YJM1402,CP006411,1294365,XII
